"Term","VIF","VIF_CI_low","VIF_CI_high","SE_factor","Tolerance","Tolerance_CI_low","Tolerance_CI_high"
"Percent_Oak",1.14988863492536,1.0467317481111,1.48075674007262,1.07232860398544,0.869649433542672,0.675330371922507,0.955354609052955
"Percent_Pine",1.20744020677429,1.08294213154514,1.51881279857318,1.09883584159522,0.828198360788011,0.658408989534082,0.92341037519078
"landscape_type",1.05310947628981,1.00323143427727,1.87286827760016,1.02621122401278,0.94956889337192,0.533940380089822,0.996778974255729
"longitude",1.11489665865281,1.02726169112294,1.48424149881402,1.05588666941713,0.896944117859638,0.673744805544817,0.973461785484141
"forest_area_km2",1.08547013513158,1.01355672896619,1.53885742037243,1.04185898044389,0.921259800370995,0.64983278292149,0.986624597737098
"stand_area_ha",1.05419365157171,1.00346863509101,1.84671687670065,1.026739329904,0.948592318412361,0.541501522305143,0.99654335475
