Patch #,Patch name,Stand type,Total Moth Count,"Moth Content (Low = 0-20, Mid = >20-50, High = >50-80, Very High = >80+)","""Muck"" Amount",Total consolidated (categorical),Total (from mean),Total (from rand),% Quercus,% Acer,% Pinus,% Conifers,Longitude (E-W),Surrounded by,Forest Type,Essences forestières,Classe d'âge,Age class_combined,Densité du couvert,Type écologique
1,Parc National de Mont Orford,MO Dom1,53.00,High,,Very High,105.00,53.00,0.50,0.40,,0.00,-72.22841179,Forest,oak,"Chêne rouge 50 %, Érable à sucre 40 %, Hêtre à grandes feuilles 10 %",VIN,VIN,0.85,FE60
1,Parc National de Mont Orford,MO Dom2,50.50,High,,Very High,104.75,50.50,0.50,0.40,,0.00,-72.22731544,Forest,oak,"Chêne rouge 50 %, Érable à sucre 40 %, Hêtre à grandes feuilles 10 %",VIN,VIN,0.85,FE60
1,Parc National de Mont Orford,MO Low 1,54.25,High,,Very High,110.25,54.25,,0.60,,0.00,-72.2241646,Forest,maple,"Érable à sucre 60 %, Frênes 20 %, Bouleau jaune 10 %, Hêtre à grandes feuilles 10 %",JIN,JIN,0.95,FE22
1,Parc National de Mont Orford,MO Low 2,55.25,High,,High,100.50,55.25,,0.40,0.20,0.40,-72.2230457,Forest,maple_birch,"Érable rouge 40 %, Bouleau à papier (blanc) 10 %, Feuillus intolérants à l'ombre 10 %, Pin blanc 20 %, Épinette rouge 10 %, Pruche du Canada (de l'Est) 10 %",JIN,JIN,0.65,MJ12
2,Parc National de Mont Orford 2,MO2 Co-Dom1,62.75,High,,High,62.75,62.75,0.30,0.40,,0.00,-72.19172705,Forest,maple_oak,"Érable à sucre 40 %, Chêne rouge 30 %, Bouleau jaune 20 %, Hêtre à grandes feuilles 10 %",JIN,JIN,0.85,FE60
2,Parc National de Mont Orford 2,MO2 Co-Dom2,34.25,Mid,high,High,99.25,87.43,0.30,0.40,,0.00,-72.19164323,Forest,maple_oak,"Érable à sucre 40 %, Chêne rouge 30 %, Bouleau jaune 20 %, Hêtre à grandes feuilles 10 %",JIN,JIN,0.85,FE60
2,Parc National de Mont Orford 2,MO2 Dom1,76.00,High,,High,76.00,76.00,0.40,0.30,0.20,0.20,-72.19366821,Forest,oak_maple,"Chêne rouge 40 %, Érable à sucre 20 %, Bouleau jaune 10 %, Érable rouge 10 %, Pin blanc 20 %",JIN,JIN,0.65,FE60
2,Parc National de Mont Orford 2,MO2 Dom2,50.75,High,low,High,60.75,53.18,0.40,0.30,0.20,0.20,-72.19298434,Forest,oak_maple,"Chêne rouge 40 %, Érable à sucre 20 %, Bouleau jaune 10 %, Érable rouge 10 %, Pin blanc 20 %",JIN,JIN,0.65,FE60
2,Parc National de Mont Orford 2,MO2 Low 1,18.25,Low,,Low,18.25,18.25,,0.20,,0.30,-72.1959201,Forest,birch_maple,"Bouleau jaune 20 %, Érable rouge 20 %, Bouleau à papier (blanc) 10 %, Frênes 10 %, Pruche du Canada (de l'Est) 20 %, Résineux indéterminés 10 %, Sapin baumier 10 %",50,JIN-even,0.75,RS12
2,Parc National de Mont Orford 2,MO2 Low 2,32.25,Mid,low,Mid,42.25,35.37,,0.30,,0.10,-72.19618865,Forest,maple_ash,"Érable à sucre 30 %, Frênes 30 %, Bouleau jaune 20 %, Feuillus intolérants à l'ombre 10 %, Sapin baumier et épinette blanche 10 %",VIN,VIN,0.85,FE20
11,Parc National Oka,Oka Co-Dom1,77.25,High,,Very High,140.25,77.25,0.40,0.30,0.40,0.40,-74.04410692,Agricultural,oak_maple,"	Chêne rouge 30 %, Érable rouge 30 %, Pin blanc 40 %",90,VIN-even,0.85,MJ11
11,Parc National Oka,Oka Co-Dom2,49.50,Mid,,High,122.00,49.50,0.30,0.30,0.40,0.40,-74.04108427,Agricultural,oak_maple,"	Chêne rouge 30 %, Érable rouge 30 %, Pin blanc 40 %",90,VIN-even,0.85,MJ11
11,Parc National Oka,Oka Dom1,68.00,High,,High,108.75,68.00,0.40,0.40,0.10,0.10,-74.05421091,Agricultural,oak_maple,"Chêne rouge 40 %, Érable rouge 40 %, Feuillus tolérants à l'ombre 10 %, Pin blanc 10 %",VIN,VIN,0.95,FE14
11,Parc National Oka,Oka Dom2,79.25,High,,Very High,156.50,79.25,0.40,0.40,0.10,0.10,-74.05583088,Agricultural,oak_maple,"Chêne rouge 40 %, Érable rouge 40 %, Feuillus tolérants à l'ombre 10 %, Pin blanc 10 %",VIN,VIN,0.95,FE61
11,Parc National Oka,Oka Low 1,,NA,very high,Very High,100.00,115.28,0.10,0.20,0.70,0.70,-74.03833299,Agricultural,pine,"Pin blanc 70 %, Érable rouge 20 %, Chêne rouge 10 %",90,VIN-even,0.95,RP11
11,Parc National Oka,Oka Low 2,41.00,Mid,very high,Very High,141.00,150.25,0.10,0.20,0.70,0.70,-74.03690161,Agricultural,pine,"Pin blanc 70 %, Érable rouge 20 %, Chêne rouge 10 %",90,VIN-even,0.95,RP11
10,Parc-nature de la Pointe-aux-Prairies,PP Co-Dom1,97.50,Very High,,High,29.00,97.50,0.20,0.20,,0.00,-73.51262731,Urban,ash,"Frênes 50 %, Chênes 20 %, Érable rouge 20 %, Feuillus tolérants à l'ombre 10 %",70,VIN-even,0.85,FE16
10,Parc-nature de la Pointe-aux-Prairies,PP Co-Dom2,64.25,High,high,Very High,43.00,127.86,0.20,0.40,,0.00,-73.51106636,Urban,maple_oak,"Érable rouge 40 %, Chênes 20 %, Frênes 20 %, Feuillus tolérants à l'ombre 20 %",JIN,JIN,0.85,FE16
10,Parc-nature de la Pointe-aux-Prairies,PP Dom1,29.00,Mid,,Mid,97.50,29.00,0.30,0.20,,0.00,-73.51736225,Urban,maple_hardwood?,"Chêne rouge 30 %, Feuillus tolérants à l'ombre 30 %, Érable à sucre 20 %, Frênes 10 %, Ormes 10 %",JIN,JIN,0.85,FE13
10,Parc-nature de la Pointe-aux-Prairies,PP Dom2,8.00,Low,medium,Mid,129.25,52.31,0.30,0.20,,0.00,-73.51497383,Urban,maple_hardwood?,"Chêne rouge 30 %, Feuillus tolérants à l'ombre 30 %, Érable à sucre 20 %, Frênes 10 %, Ormes 10 %",JIN,JIN,0.85,FE13
10,Parc-nature de la Pointe-aux-Prairies,PP Low 1,21.00,Mid,,Mid,21.00,21.00,,0.10,,0.00,-73.51602609,Urban,ash_poplar,"Frênes 40 %, Peupliers naturels 40 %, Érable rouge 10 %, Feuillus non commerciaux 10 %",30,JIN-even,0.25,FE16
10,Parc-nature de la Pointe-aux-Prairies,PP Low 2,40.25,Mid,low,Mid,50.25,48.86,,0.10,,0.00,-73.51583172,Urban,ash_poplar,"Frênes 40 %, Peupliers naturels 40 %, Érable rouge 10 %, Feuillus non commerciaux 10 %",30,JIN-even,0.25,FE16
,,,,,,,,Low,,,,,,,,,,,,
,,,,,,,,Low,,,,,,,,,,,,
,,,,,,,,Low,,,,,,,,,,,,
,,,,,,,,Low,,,,,,,,,,,,
,,,,,,,,Low,,,,,,,,,,,,
,,,,,,,,Low,,,,,,,,,,,,
,,,,,,,,Low,,,,,,,,,,,,
,,,,,,,,Low,,,,,,,,,,,,
,,,,,,,,Low,,,,,,,,,,,,
,,,,,,,,Low,,,,,,,,,,,,
,,,,,,,,Low,,,,,,,,,,,,
,,,,,,,,Low,,,,,,,,,,,,
,,,,,,,,Low,,,,,,,,,,,,
,,,,,,,,Low,,,,,,,,,,,,
,,,,,,,,Low,,,,,,,,,,,,
,,,,,,,,Low,,,,,,,,,,,,
