Patch #,Patch name,Stand type,Total Moth Count,"Moth Content (Low = 0-20, Mid = >20-50, High = >50-80, Very High = >80+)","""Muck"" Amount",Total (categorical),Total g(continuous)
14,Notre Dame de Bonsecours,NDB Low 2,78.75,Mid,,High,88.75
15,Kenauk,KNK Dom1,46.25,Mid,low,Mid,56.25
15,Kenauk,KNK Co-Dom1,5.25,Low,,Low,5.25
15,Kenauk,KNK Low 1,,Very High,high,Very High,65
15,Kenauk,KNK Dom2,51,High,low,High,61
15,Kenauk,KNK Co-Dom2,16.75,Low,,Low,16.75
15,Kenauk,KNK Low 2,15,Low,,Low,15
16,Montebello,Mont Dom1,0,Low,,Low,0
16,Montebello,Mont Co-Dom1,,Very High,,High,0
16,Montebello,Mont Low 1,2,Low,,Low,2
16,Montebello,Mont Dom2,,Very High,very high,Very High,100
16,Montebello,Mont Co-Dom2,,Very High,very high,Very High,100
16,Montebello,Mont Low 2,33,Mid,,Mid,33
17,Papineauville,Pap Dom1,86.25,Very High,,High,86.25
17,Papineauville,Pap Co-Dom1,30,Mid,,Mid,30
17,Papineauville,Pap Low 1,29.5,Mid,high,High,94.5
17,Papineauville,Pap Dom2,9,Low,medium,Mid,44
17,Papineauville,Pap Co-Dom2,,Very High,very high,Very High,100
17,Papineauville,Pap Low 2,,Very High,very high,Very High,100
