"Term","VIF","VIF_CI_low","VIF_CI_high","SE_factor","Tolerance","Tolerance_CI_low","Tolerance_CI_high"
"prop_oak",1.6939620309395,1.38575325410779,2.24842317014157,1.30152296596699,0.590332003749447,0.444756135446262,0.721629191225564
"site_area",4.80826747288248,3.58844092390922,6.60294848186512,2.1927762021881,0.207975119029831,0.15144749391071,0.278672554795916
"x_acer",1.82990547969926,1.48028244082352,2.43403765512209,1.35273998968733,0.546476313172386,0.41083998758016,0.67554675541762
"x_pinus",1.62559918622162,1.3385319018456,2.15609294033285,1.27498987690947,0.615157788264091,0.463801898931881,0.747087162152186
"longitude_e_w",4.10329394741714,3.08791450019603,5.61246536827619,2.02565889216747,0.243706644665187,0.178174818797526,0.323843163383092
"densite_du_couvert",1.45836211009878,1.22453698148555,1.93568472589325,1.20762664350319,0.685700755028714,0.516613055123704,0.816635197727429
